Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,6440.000000,6497.655762,6436.517090,6481.769043,6481.769043,231302300
2021-10-11,6482.957031,6506.091797,6451.678223,6459.696777,6459.696777,204779900
2021-10-12,6462.314941,6504.013184,6460.086914,6486.267090,6486.267090,204607300
2021-10-13,6502.157227,6600.518066,6492.655762,6536.903809,6536.903809,193450700
2021-10-14,6552.210938,6637.399902,6552.210938,6626.113770,6626.113770,178191500
2021-10-15,6645.259766,6680.008789,6573.342773,6633.337891,6633.337891,160148800
2021-10-18,6649.280762,6684.818848,6620.845215,6658.768066,6658.768066,188565300
2021-10-19,6665.719238,6677.597168,6613.889160,6655.998047,6655.998047,188504800
2021-10-21,6670.272949,6687.133789,6602.065918,6632.972168,6632.972168,215065000
2021-10-22,6620.659180,6655.442871,6585.557129,6643.737793,6643.737793,165782200
2021-10-25,6626.367188,6673.515137,6625.696777,6625.696777,6625.696777,175632400
2021-10-26,6640.051758,6680.117188,6638.027832,6656.937012,6656.937012,180194900
2021-10-27,6664.373047,6670.809082,6590.504883,6602.208984,6602.208984,182503600
2021-10-28,6578.583008,6600.247070,6509.877930,6524.076172,6524.076172,189347200
2021-10-29,6561.712891,6596.769043,6551.539063,6591.346191,6591.346191,171512200
2021-11-01,6618.122070,6627.851074,6552.889160,6552.889160,6552.889160,182528900
2021-11-02,6557.944824,6573.693848,6480.009766,6493.274902,6493.274902,165299300
2021-11-03,6497.865234,6561.810059,6485.250977,6552.129883,6552.129883,171604200
2021-11-04,6588.188965,6617.861816,6583.169922,6586.442871,6586.442871,155291000
2021-11-05,6600.722168,6608.424805,6550.117188,6581.785156,6581.785156,154117700
2021-11-08,6599.404785,6637.011230,6592.055176,6632.296875,6632.296875,167444200
2021-11-09,6640.221191,6669.924805,6633.208008,6669.924805,6669.924805,192392200
2021-11-10,6665.548828,6683.145020,6651.797852,6683.145020,6683.145020,153422900
2021-11-11,6694.583008,6704.463867,6671.227051,6691.341797,6691.341797,209193300
2021-11-12,6710.853027,6714.158203,6646.315918,6651.054199,6651.054199,198646700
2021-11-15,6661.849121,6675.595215,6610.823242,6616.028809,6616.028809,203267300
2021-11-16,6598.408203,6654.515137,6592.228027,6651.207031,6651.207031,207039500
2021-11-17,6667.861816,6679.304199,6650.494141,6675.804199,6675.804199,217158400
2021-11-18,6653.700195,6669.786133,6621.692871,6636.469238,6636.469238,248016700
2021-11-19,6651.778809,6720.987793,6651.778809,6720.263184,6720.263184,258781800
2021-11-22,6731.515137,6754.463867,6690.817871,6723.386230,6723.386230,218097200
2021-11-23,6716.157227,6732.897949,6662.538086,6677.875977,6677.875977,186336800
2021-11-24,6697.423828,6698.414063,6668.054199,6683.276855,6683.276855,224587000
2021-11-25,6694.957031,6751.001953,6694.796875,6699.346191,6699.346191,215655400
2021-11-26,6688.568848,6691.711914,6544.895996,6561.553223,6561.553223,242523500
2021-11-29,6552.803223,6617.287109,6487.748047,6608.290039,6608.290039,0
2021-11-30,6605.796875,6647.477051,6533.932129,6533.932129,6533.932129,216798600
2021-12-01,6544.517090,6593.074219,6494.497070,6507.676758,6507.676758,195068500
2021-12-02,6517.338867,6586.895996,6484.578125,6583.819824,6583.819824,210837500
2021-12-03,6588.014160,6600.165039,6536.907227,6538.505859,6538.505859,172625500
2021-12-06,6552.815918,6585.263184,6525.984863,6547.116211,6547.116211,180052400
2021-12-07,6575.976074,6608.633789,6573.109863,6602.568848,6602.568848,212352000
2021-12-08,6618.754883,6632.940918,6584.969238,6603.797852,6603.797852,216901600
2021-12-09,6617.132813,6643.932129,6602.876953,6643.932129,6643.932129,240218200
2021-12-10,6618.686035,6652.921875,6605.416016,6652.921875,6652.921875,229170800
2021-12-13,6663.738770,6688.378906,6659.166992,6662.871094,6662.871094,232086300
2021-12-14,6665.382813,6671.312988,6598.694824,6615.637207,6615.637207,187591100
2021-12-15,6615.724121,6662.839844,6610.452148,6626.256836,6626.256836,196016500
2021-12-16,6648.288086,6661.944824,6579.363770,6594.797852,6594.797852,185929900
2021-12-17,6584.887207,6609.044922,6559.303223,6601.932129,6601.932129,210214300
2021-12-20,6571.345215,6579.128906,6533.522949,6547.111816,6547.111816,181341400
2021-12-21,6545.537109,6579.892090,6531.564941,6554.309082,6554.309082,186470700
2021-12-22,6572.535156,6592.166992,6529.592773,6529.592773,6529.592773,187213900
2021-12-23,6537.599121,6570.287109,6531.777832,6555.550781,6555.550781,209975800
2021-12-24,6559.088867,6583.859863,6554.979980,6562.899902,6562.899902,176357600
2021-12-27,6570.558105,6588.425781,6562.554199,6575.443848,6575.443848,179010000
